,Unnamed: 0,title,subtitle,pdf,txt,more,fileName,year,date,President
403,403,30 WCPD 666 - Remarks at the White House,"Addresses and Remarks. Friday, April 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg666.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg666.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg666&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg666,1994,"Friday, April 8, 1994",Bill Clinton
404,404,"30 WCPD 666 - Exchange With Reporters in Cleveland, Ohio","Interviews With the News Media. Monday, April 4, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg666-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg666-2.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg666-2&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg666-2,1994,"Monday, April 4, 1994",Bill Clinton
405,405,30 WCPD 666 - Proclamation 6662--Transfer of Functions of the ACTION Agency to the Corporation for National and...,"Proclamations. Monday, April 4, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg666-3.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg666-3.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg666-3&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg666-3,1994,"Monday, April 4, 1994",Bill Clinton
406,406,"30 WCPD 667 - Remarks in a Health Care Roundtable and an Exchange With Reporters in Troy, North Carolina","Addresses and Remarks. Tuesday, April 5, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg667.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg667.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg667&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg667,1994,"Tuesday, April 5, 1994",Bill Clinton
407,407,30 WCPD 672 - Remarks to the Community in Troy,"Addresses and Remarks. Tuesday, April 5, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg672.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg672.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg672&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg672,1994,"Tuesday, April 5, 1994",Bill Clinton
408,408,"30 WCPD 678 - Remarks in a Town Meeting in Charlotte, North Carolina","Addresses and Remarks. Tuesday, April 5, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg678.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg678.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg678&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg678,1994,"Tuesday, April 5, 1994",Bill Clinton
409,409,30 WCPD 697 - Exchange With Reporters in Charlotte,"Interviews With the News Media. Tuesday, April 5, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg697.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg697.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg697&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg697,1994,"Tuesday, April 5, 1994",Bill Clinton
410,410,30 WCPD 697 - Remarks on the Resignation of Supreme Court Justice Harry A. Blackmun and an Exchange With Reporters,"Addresses and Remarks. Wednesday, April 6, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg697-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg697-2.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg697-2&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg697-2,1994,"Wednesday, April 6, 1994",Bill Clinton
411,411,30 WCPD 699 - Remarks at the Funeral Service for William H. Natcher in," Friday, April 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg699.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg699.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg699&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg699,1994,"Friday, April 8, 1994",Bill Clinton
412,412,"30 WCPD 699 - Bowling Green, Kentucky","Addresses and Remarks. Wednesday, April 6, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg699-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg699-2.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg699-2&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg699-2,1994,"Wednesday, April 6, 1994",Bill Clinton
