title,subtitle,pdf,txt,more,fileName,year
DCPD-201500001  - Statement on the Death of Mario M. Cuomo,"Statements by the President. Thursday, January 1, 2015.",https://www.gpo.gov/fdsys/pkg/DCPD-201500001/pdf/DCPD-201500001.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201500001/html/DCPD-201500001.htm,search/pagedetails.action;jsessionid=uRBnVBamrusnWDl03nc8UmscnTk0nVWJy1xp4POTjtiCNdhmD3Wa!776835587!-72603446?browsePath=2015%2F01&granuleId=&packageId=DCPD-201500001&fromBrowse=true,DCPD-201500001,2015
DCPD-201500002  - Executive Order 13687-Imposing Additional Sanctions With Respect to North Korea,"Executive Orders. Friday, January 2, 2015.",https://www.gpo.gov/fdsys/pkg/DCPD-201500002/pdf/DCPD-201500002.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201500002/html/DCPD-201500002.htm,search/pagedetails.action;jsessionid=uRBnVBamrusnWDl03nc8UmscnTk0nVWJy1xp4POTjtiCNdhmD3Wa!776835587!-72603446?browsePath=2015%2F01&granuleId=&packageId=DCPD-201500002&fromBrowse=true,DCPD-201500002,2015
DCPD-201500003  - Letter to Congressional Leaders on Imposing Additional Sanctions With Respect to North Korea,"Communications to Congress. Friday, January 2, 2015.",https://www.gpo.gov/fdsys/pkg/DCPD-201500003/pdf/DCPD-201500003.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201500003/html/DCPD-201500003.htm,search/pagedetails.action;jsessionid=uRBnVBamrusnWDl03nc8UmscnTk0nVWJy1xp4POTjtiCNdhmD3Wa!776835587!-72603446?browsePath=2015%2F01&granuleId=&packageId=DCPD-201500003&fromBrowse=true,DCPD-201500003,2015
DCPD-201500004  - Statement on the Death of Former Senator Edward W. Brooke III,"Statements by the President. Saturday, January 3, 2015.",https://www.gpo.gov/fdsys/pkg/DCPD-201500004/pdf/DCPD-201500004.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201500004/html/DCPD-201500004.htm,search/pagedetails.action;jsessionid=uRBnVBamrusnWDl03nc8UmscnTk0nVWJy1xp4POTjtiCNdhmD3Wa!776835587!-72603446?browsePath=2015%2F01&granuleId=&packageId=DCPD-201500004&fromBrowse=true,DCPD-201500004,2015
DCPD-201500005  - Statement on the Death of Stuart O. Scott,"Statements by the President. Sunday, January 4, 2015.",https://www.gpo.gov/fdsys/pkg/DCPD-201500005/pdf/DCPD-201500005.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201500005/html/DCPD-201500005.htm,search/pagedetails.action;jsessionid=uRBnVBamrusnWDl03nc8UmscnTk0nVWJy1xp4POTjtiCNdhmD3Wa!776835587!-72603446?browsePath=2015%2F01&granuleId=&packageId=DCPD-201500005&fromBrowse=true,DCPD-201500005,2015
DCPD-201500006  - Remarks Following a Meeting With President Enrique Peña Nieto of Mexico,"Meetings With Foreign Leaders and International Officials. Tuesday, January 6, 2015.",https://www.gpo.gov/fdsys/pkg/DCPD-201500006/pdf/DCPD-201500006.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201500006/html/DCPD-201500006.htm,search/pagedetails.action;jsessionid=uRBnVBamrusnWDl03nc8UmscnTk0nVWJy1xp4POTjtiCNdhmD3Wa!776835587!-72603446?browsePath=2015%2F01&granuleId=&packageId=DCPD-201500006&fromBrowse=true,DCPD-201500006,2015
DCPD-201500007  - Remarks at a Meeting With Members of the Executive Committee of the National Governors...,"Addresses and Remarks. Tuesday, January 6, 2015.",https://www.gpo.gov/fdsys/pkg/DCPD-201500007/pdf/DCPD-201500007.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201500007/html/DCPD-201500007.htm,search/pagedetails.action;jsessionid=uRBnVBamrusnWDl03nc8UmscnTk0nVWJy1xp4POTjtiCNdhmD3Wa!776835587!-72603446?browsePath=2015%2F01&granuleId=&packageId=DCPD-201500007&fromBrowse=true,DCPD-201500007,2015
DCPD-201500008  - Joint Statement-United States-Mexico High-Level Economic Dialogue,"Joint Statements. Tuesday, January 6, 2015.",https://www.gpo.gov/fdsys/pkg/DCPD-201500008/pdf/DCPD-201500008.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201500008/html/DCPD-201500008.htm,search/pagedetails.action;jsessionid=uRBnVBamrusnWDl03nc8UmscnTk0nVWJy1xp4POTjtiCNdhmD3Wa!776835587!-72603446?browsePath=2015%2F01&granuleId=&packageId=DCPD-201500008&fromBrowse=true,DCPD-201500008,2015
"DCPD-201500009  - Remarks on the Terrorist Attack in Paris, France, During a Meeting With Vice President Joe Biden...","Addresses and Remarks. Wednesday, January 7, 2015.",https://www.gpo.gov/fdsys/pkg/DCPD-201500009/pdf/DCPD-201500009.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201500009/html/DCPD-201500009.htm,search/pagedetails.action;jsessionid=uRBnVBamrusnWDl03nc8UmscnTk0nVWJy1xp4POTjtiCNdhmD3Wa!776835587!-72603446?browsePath=2015%2F01&granuleId=&packageId=DCPD-201500009&fromBrowse=true,DCPD-201500009,2015
"DCPD-201500010  - Remarks at the Ford Motor Company Michigan Assembly Plant in Wayne, Michigan","Addresses and Remarks. Wednesday, January 7, 2015.",https://www.gpo.gov/fdsys/pkg/DCPD-201500010/pdf/DCPD-201500010.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201500010/html/DCPD-201500010.htm,search/pagedetails.action;jsessionid=uRBnVBamrusnWDl03nc8UmscnTk0nVWJy1xp4POTjtiCNdhmD3Wa!776835587!-72603446?browsePath=2015%2F01&granuleId=&packageId=DCPD-201500010&fromBrowse=true,DCPD-201500010,2015
