Unnamed: 0,title,subtitle,pdf,txt,more,fileName,year
0,DCPD-201300001  - Statement on Senate Passage of Tax Reform Legislation,"Statements by the President. Tuesday, January 1, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300001/pdf/DCPD-201300001.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300001/html/DCPD-201300001.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300001&fromBrowse=true,DCPD-201300001,2013
1,DCPD-201300002  - Remarks on Congressional Passage of Tax Reform Legislation,"Addresses and Remarks. Tuesday, January 1, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300002/pdf/DCPD-201300002.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300002/html/DCPD-201300002.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300002&fromBrowse=true,DCPD-201300002,2013
2,DCPD-201300003  - Statement on Funding for Hurricane Sandy Recovery Efforts,"Statements by the President. Wednesday, January 2, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300003/pdf/DCPD-201300003.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300003/html/DCPD-201300003.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300003&fromBrowse=true,DCPD-201300003,2013
3,DCPD-201300004  - Statement on Signing the National Defense Authorization Act for Fiscal Year 2013,"Bill Signings and Vetoes. Wednesday, January 2, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300004/pdf/DCPD-201300004.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300004/html/DCPD-201300004.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300004&fromBrowse=true,DCPD-201300004,2013
4,DCPD-201300005  - The President's Weekly Address,"Addresses and Remarks. Saturday, January 5, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300005/pdf/DCPD-201300005.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300005/html/DCPD-201300005.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300005&fromBrowse=true,DCPD-201300005,2013
5,DCPD-201300006  - Remarks on the Nominations of Charles T. Hagel to be Secretary of Defense and John O. Brennan to...,"Appointments and Nominations. Monday, January 7, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300006/pdf/DCPD-201300006.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300006/html/DCPD-201300006.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300006&fromBrowse=true,DCPD-201300006,2013
6,DCPD-201300007  - Memorandum on the National Flood Insurance Program,"Communications to Federal Agencies. Monday, January 7, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300007/pdf/DCPD-201300007.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300007/html/DCPD-201300007.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300007&fromBrowse=true,DCPD-201300007,2013
7,DCPD-201300008  - Statement on the Resignation of Hilda L. Solis as Secretary of Labor,"Resignations and Retirements. Wednesday, January 9, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300008/pdf/DCPD-201300008.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300008/html/DCPD-201300008.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300008&fromBrowse=true,DCPD-201300008,2013
8,"DCPD-201300009  - Remarks on the Nomination of White House Chief of Staff Jacob J. ""Jack"" Lew to Be Secretary of...","Appointments and Nominations. Thursday, January 10, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300009/pdf/DCPD-201300009.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300009/html/DCPD-201300009.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300009&fromBrowse=true,DCPD-201300009,2013
9,DCPD-201300010  - The President's News Conference With President Hamid Karzai of Afghanistan,"Interviews With the News Media. Friday, January 11, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300010/pdf/DCPD-201300010.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300010/html/DCPD-201300010.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300010&fromBrowse=true,DCPD-201300010,2013
10,DCPD-201300011  - Joint Statement by President Barack Obama and President Hamid Karzai of Afghanistan,"Joint Statements. Friday, January 11, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300011/pdf/DCPD-201300011.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300011/html/DCPD-201300011.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300011&fromBrowse=true,DCPD-201300011,2013
11,"DCPD-201300012  - Statement on Senator John D. ""Jay"" Rockefeller IV's Decision Not To Seek Reelection","Statements by the President. Friday, January 11, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300012/pdf/DCPD-201300012.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300012/html/DCPD-201300012.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300012&fromBrowse=true,DCPD-201300012,2013
12,DCPD-201300013  - The President's Weekly Address,"Addresses and Remarks. Saturday, January 12, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300013/pdf/DCPD-201300013.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300013/html/DCPD-201300013.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300013&fromBrowse=true,DCPD-201300013,2013
13,DCPD-201300014  - Letter to Congressional Leaders Reporting on U.S. Military Support for a French Rescue Operation...,"Communications to Congress. Sunday, January 13, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300014/pdf/DCPD-201300014.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300014/html/DCPD-201300014.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300014&fromBrowse=true,DCPD-201300014,2013
14,DCPD-201300015  - The President's News Conference,"Interviews With the News Media. Monday, January 14, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300015/pdf/DCPD-201300015.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300015/html/DCPD-201300015.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300015&fromBrowse=true,DCPD-201300015,2013
15,DCPD-201300016  - Statement on Signing the Department of State Program Update and Technical Corrections Act of 2012,"Bill Signings and Vetoes. Tuesday, January 15, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300016/pdf/DCPD-201300016.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300016/html/DCPD-201300016.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300016&fromBrowse=true,DCPD-201300016,2013
16,DCPD-201300017  - Memorandum on Delegation of Certain Functions Under Section 6 of United States-Israel Enhanced...,"Communications to Federal Agencies. Tuesday, January 15, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300017/pdf/DCPD-201300017.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300017/html/DCPD-201300017.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300017&fromBrowse=true,DCPD-201300017,2013
17,DCPD-201300018  - Remarks on Gun Violence,"Addresses and Remarks. Wednesday, January 16, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300018/pdf/DCPD-201300018.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300018/html/DCPD-201300018.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300018&fromBrowse=true,DCPD-201300018,2013
18,DCPD-201300019  - Statement on the Resignation of Kenneth L. Salazar as Secretary of the Interior,"Resignations and Retirements. Wednesday, January 16, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300019/pdf/DCPD-201300019.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300019/html/DCPD-201300019.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300019&fromBrowse=true,DCPD-201300019,2013
19,"DCPD-201300020  - Proclamation 8926-Religious Freedom Day, 2013","Proclamations. Wednesday, January 16, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300020/pdf/DCPD-201300020.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300020/html/DCPD-201300020.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300020&fromBrowse=true,DCPD-201300020,2013
20,DCPD-201300021  - Memorandum on Engaging in Public Health Research on the Causes and Prevention of Gun Violence,"Communications to Federal Agencies. Wednesday, January 16, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300021/pdf/DCPD-201300021.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300021/html/DCPD-201300021.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300021&fromBrowse=true,DCPD-201300021,2013
21,DCPD-201300022  - Memorandum on Improving Availability of Relevant Executive Branch Records to the National Instant...,"Communications to Federal Agencies. Wednesday, January 16, 2013.",https://www.gpo.gov/fdsys/pkg/DCPD-201300022/pdf/DCPD-201300022.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201300022/html/DCPD-201300022.htm,search/pagedetails.action;jsessionid=OqNmuTZqvWiSFXTgR8o6wz-SwxnRpY1UM7cAnOrXA1CiKbKdwONN!-1299626197!-1169817914?browsePath=2013%2F01&granuleId=&packageId=DCPD-201300022&fromBrowse=true,DCPD-201300022,2013
