title,subtitle,pdf,txt,more,fileName,year
DCPD-201600015  - Remarks and a Question-and-Answer Session at a Town Hall Meeting at McKinley Senior High School...,"Addresses and Remarks. Thursday, January 14, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600015/pdf/DCPD-201600015.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600015/html/DCPD-201600015.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600015&fromBrowse=true,DCPD-201600015,2016
"DCPD-201600016  - Proclamation 9389-Religious Freedom Day, 2016","Proclamations. Friday, January 15, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600016/pdf/DCPD-201600016.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600016/html/DCPD-201600016.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600016&fromBrowse=true,DCPD-201600016,2016
"DCPD-201600017  - Proclamation 9390-Martin Luther King, Jr., Federal Holiday, 2016","Proclamations. Friday, January 15, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600017/pdf/DCPD-201600017.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600017/html/DCPD-201600017.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600017&fromBrowse=true,DCPD-201600017,2016
DCPD-201600018  - Memorandum on Delegation of Certain Functions and Authorities Under Section 103(b)(2) of the...,"Communications to Federal Agencies. Friday, January 15, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600018/pdf/DCPD-201600018.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600018/html/DCPD-201600018.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600018&fromBrowse=true,DCPD-201600018,2016
DCPD-201600019  - The President's Weekly Address,"Addresses and Remarks. Saturday, January 16, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600019/pdf/DCPD-201600019.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600019/html/DCPD-201600019.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600019&fromBrowse=true,DCPD-201600019,2016
"DCPD-201600020  - Executive Order 13716-Revocation of Executive Orders 13574, 13590, 13622, and 13645 With Respect...","Executive Orders. Saturday, January 16, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600020/pdf/DCPD-201600020.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600020/html/DCPD-201600020.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600020&fromBrowse=true,DCPD-201600020,2016
"DCPD-201600021  - Letter to Congressional Leaders on Revocation of Executive Orders 13574, 13590, 13622, and 13645...","Communications to Congress. Saturday, January 16, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600021/pdf/DCPD-201600021.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600021/html/DCPD-201600021.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600021&fromBrowse=true,DCPD-201600021,2016
DCPD-201600022  - Remarks on Iran,"Addresses and Remarks. Sunday, January 17, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600022/pdf/DCPD-201600022.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600022/html/DCPD-201600022.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600022&fromBrowse=true,DCPD-201600022,2016
DCPD-201600023  - Remarks Prior to a Meeting With Prime Minister Malcolm B. Turnbull of Australia,"Meetings With Foreign Leaders and International Officials. Tuesday, January 19, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600023/pdf/DCPD-201600023.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600023/html/DCPD-201600023.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600023&fromBrowse=true,DCPD-201600023,2016
DCPD-201600024  - Message to the Senate Returning Without Approval Legislation Regarding Congressional Disapproval...,"Bill Signings and Vetoes. Tuesday, January 19, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600024/pdf/DCPD-201600024.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600024/html/DCPD-201600024.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600024&fromBrowse=true,DCPD-201600024,2016
"DCPD-201600025  - Remarks in Detroit, Michigan","Addresses and Remarks. Wednesday, January 20, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600025/pdf/DCPD-201600025.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600025/html/DCPD-201600025.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600025&fromBrowse=true,DCPD-201600025,2016
DCPD-201600026  - Notice-Continuation of the National Emergency With Respect to Terrorists Who Threaten To Disrupt...,"Notices. Wednesday, January 20, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600026/pdf/DCPD-201600026.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600026/html/DCPD-201600026.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600026&fromBrowse=true,DCPD-201600026,2016
DCPD-201600027  - Letter to Congressional Leaders on Continuation of the National Emergency With Respect To...,"Communications to Congress. Wednesday, January 20, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600027/pdf/DCPD-201600027.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600027/html/DCPD-201600027.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600027&fromBrowse=true,DCPD-201600027,2016
DCPD-201600028  - Remarks to the United States Conference of Mayors,"Addresses and Remarks. Thursday, January 21, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600028/pdf/DCPD-201600028.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600028/html/DCPD-201600028.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600028&fromBrowse=true,DCPD-201600028,2016
DCPD-201600029  - Memorandum on Delegation of Authority Under the National Defense Authorization Act for Fiscal...,"Communications to Federal Agencies. Thursday, January 21, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600029/pdf/DCPD-201600029.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600029/html/DCPD-201600029.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600029&fromBrowse=true,DCPD-201600029,2016
