title,subtitle,pdf,txt,more,fileName,year
33 WCPD 2 - Notice--Continuation of Libyan Emergency,"Notices. Thursday, January 2, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/pdf/WCPD-1997-01-06-Pg2-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/html/WCPD-1997-01-06-Pg2-2.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-06-Pg2-2&packageId=WCPD-1997-01-06&fromBrowse=true,WCPD-1997-01-06-Pg2-2,1997
33 WCPD 3 - Letter to Congressional Leaders on Continuation of the Libyan Emergency,"Communications to Congress. Thursday, January 2, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/pdf/WCPD-1997-01-06-Pg3.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/html/WCPD-1997-01-06-Pg3.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-06-Pg3&packageId=WCPD-1997-01-06&fromBrowse=true,WCPD-1997-01-06-Pg3,1997
33 WCPD 3 - Statement on Action on Title III of the Cuban Liberty and Democratic Solidarity (LIBERTAD) Act of...,"Statements by the President. Friday, January 3, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/pdf/WCPD-1997-01-06-Pg3-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/html/WCPD-1997-01-06-Pg3-2.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-06-Pg3-2&packageId=WCPD-1997-01-06&fromBrowse=true,WCPD-1997-01-06-Pg3-2,1997
33 WCPD 4 - Letter to Congressional Leaders on Title III of the Cuban Liberty and Democratic Solidarity...,"Communications to Congress. Friday, January 3, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/pdf/WCPD-1997-01-06-Pg4.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/html/WCPD-1997-01-06-Pg4.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-06-Pg4&packageId=WCPD-1997-01-06&fromBrowse=true,WCPD-1997-01-06-Pg4,1997
33 WCPD 5 - Digest of Other White House Announcements,"Supplementary Materials. Friday, January 3, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/pdf/WCPD-1997-01-06-Pg5.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/html/WCPD-1997-01-06-Pg5.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-06-Pg5&packageId=WCPD-1997-01-06&fromBrowse=true,WCPD-1997-01-06-Pg5,1997
33 WCPD 5 - Nominations Submitted to the Senate,"Supplementary Materials. Friday, January 3, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/pdf/WCPD-1997-01-06-Pg5-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/html/WCPD-1997-01-06-Pg5-2.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-06-Pg5-2&packageId=WCPD-1997-01-06&fromBrowse=true,WCPD-1997-01-06-Pg5-2,1997
33 WCPD 5 - Checklist of White House Press Releases,"Supplementary Materials. Friday, January 3, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/pdf/WCPD-1997-01-06-Pg5-3.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/html/WCPD-1997-01-06-Pg5-3.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-06-Pg5-3&packageId=WCPD-1997-01-06&fromBrowse=true,WCPD-1997-01-06-Pg5-3,1997
33 WCPD 5 - Acts Approved by the President,"Supplementary Materials. Friday, January 3, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/pdf/WCPD-1997-01-06-Pg5-4.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-06/html/WCPD-1997-01-06-Pg5-4.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-06-Pg5-4&packageId=WCPD-1997-01-06&fromBrowse=true,WCPD-1997-01-06-Pg5-4,1997
33 WCPD 7 - The President's Radio Address,"Addresses and Remarks. Saturday, January 4, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg7.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg7.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg7&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg7,1997
33 WCPD 8 - Statement on the Decline in Serious Crime,"Statements by the President. Sunday, January 5, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg8.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg8.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg8&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg8,1997
33 WCPD 9 - Remarks at the Ecumenical Prayer Breakfast,"Addresses and Remarks. Monday, January 6, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg9.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg9.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg9&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg9,1997
33 WCPD 11 - Remarks on Receiving the Report of the Presidential Advisory Committee on Gulf War Veterans...,"Addresses and Remarks. Tuesday, January 7, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg11.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg11.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg11&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg11,1997
33 WCPD 14 - Message to the Congress Transmitting the Department of Housing and Urban Development Report,"Communications to Congress. Tuesday, January 7, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg14.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg14.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg14&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg14,1997
33 WCPD 14 - Message to the Congress Transmitting the Department of Energy Report,"Communications to Congress. Tuesday, January 7, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg14-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg14-2.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg14-2&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg14-2,1997
33 WCPD 14 - Message to the Congress Transmitting the Report on Hazardous Materials Transportation,"Communications to Congress. Tuesday, January 7, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg14-3.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg14-3.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg14-3&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg14-3,1997
33 WCPD 14 - Message to the Senate Transmitting Protocols to the Chemical Weapons Convention,"Communications to Congress. Tuesday, January 7, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg14-4.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg14-4.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg14-4&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg14-4,1997
33 WCPD 16 - Letter to Congressional Leaders on Iraq,"Communications to Congress. Tuesday, January 7, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg16.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg16.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg16&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg16,1997
33 WCPD 19 - Message to the Congress Transmitting Legislation on the Appointment of the United States Trade...,"Communications to Congress. Wednesday, January 8, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg19.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg19.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg19&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg19,1997
33 WCPD 19 - Remarks on Receiving a Report on Student Loan Default Rates and an Exchange With Reporters,"Addresses and Remarks. Thursday, January 9, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg19-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg19-2.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg19-2&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg19-2,1997
33 WCPD 22 - Remarks on Presenting the Arts and Humanities Awards,"Addresses and Remarks. Thursday, January 9, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg22.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg22.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg22&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg22,1997
33 WCPD 27 - Remarks at the Arts and Humanities Awards Dinner,"Addresses and Remarks. Thursday, January 9, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg27.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg27.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg27&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg27,1997
33 WCPD 28 - Remarks Prior to a Meeting With Business Leaders and an Exchange With Reporters,"Addresses and Remarks. Friday, January 10, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg28.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg28.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg28&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg28,1997
33 WCPD 29 - Remarks Honoring the 1996 Stanley Cup Champion Colorado Avalanche,"Addresses and Remarks. Friday, January 10, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg29.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg29.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg29&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg29,1997
33 WCPD 30 - Letter to Congressional Leaders on Libya,"Communications to Congress. Friday, January 10, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg30.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg30.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg30&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg30,1997
33 WCPD 32 - Digest of Other White House Announcements,"Supplementary Materials. Friday, January 10, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg32.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg32.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg32&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg32,1997
33 WCPD 33 - Nominations Submitted to the Senate,"Supplementary Materials. Friday, January 10, 1997.",https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/pdf/WCPD-1997-01-13-Pg33.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1997-01-13/html/WCPD-1997-01-13-Pg33.htm,search/pagedetails.action;jsessionid=rZ9nZUoJMg9pB77PQ2aKKVhe4Hb9YRb0MFxU_pA_UaFKZPr09oLH!-1425986810!-1335377897?browsePath=1997%2F01&granuleId=WCPD-1997-01-13-Pg33&packageId=WCPD-1997-01-13&fromBrowse=true,WCPD-1997-01-13-Pg33,1997
